Column1,Column2,Column3,Column4,Column5,Column6,Column7
0.0,5000.0,100000.0,0.0,10.0,0.0,0.0
0.01,4868.957982433932,92632.11521554203,131.04201756606872,9.791033998350812,0.208966001649187,7367.884784457944
0.02,4741.616013248471,80609.95111827829,258.3839867515293,9.586434675682204,0.4135653243177952,19390.04888172168
0.03,4617.862693453735,67414.59740366698,382.1373065462649,9.386110783253871,0.6138892167461265,32585.402596332988
0.04,4497.590173682879,54633.776973059044,502.409826317121,9.189972979121169,0.8100270208788283,45366.22302694092
0.05,4380.69403499524,43115.243084162656,619.3059650047599,8.997933788203522,1.0020662117964754,56884.75691583731
0.06,4267.073174332736,33244.14107565704,732.9268256672636,8.809907563466423,1.1900924365335739,66755.85892434292
0.07,4156.62969323288,25105.318274197078,843.3703067671204,8.625810447252103,1.3741895527478933,74894.68172580289
0.08,4049.2687938517834,18608.93742440429,950.7312061482165,8.445560335779437,1.55443966422056,81391.06257559567
0.09,3944.8986672050055,13557.744807420697,1055.1013327949945,8.269076838022817,1.7309231619771794,86442.25519257926
0.1,3843.4304063485424,9722.429832774302,1156.5695936514576,8.09628124581339,1.9037187541866079,90277.57016722565
0.11,3744.7778978303713,6869.392600206392,1255.2221021696287,7.927096493473806,2.0729035065261905,93130.60739979357
0.12,3648.8577398932493,4787.635383701962,1351.1422601067507,7.761447127867656,2.2385528721323413,95212.364616298
0.13,3555.5891419784834,3295.0897365058927,1444.4108580215166,7.59925927044885,2.4007407295511474,96704.91026349406
0.14,3464.8938482420276,2239.4216811023484,1535.1061517579724,7.440460587933563,2.5595394120664343,97760.57831889762
0.15,3376.696047433342,1505.727295928138,1623.3039525666582,7.284980258057405,2.7150197419425925,98494.27270407182
0.16,3290.922295036186,1000.5642539134399,1709.0777049638143,7.132748938226826,2.867251061773171,98999.43574608651
0.17,3207.5014360958007,658.979526112556,1792.4985639041995,6.98369873578332,3.0163012642166778,99341.0204738874
0.18,3126.3645268860537,429.2592031773163,1873.6354731139463,6.837763175419224,3.1622368245807744,99570.74079682265
0.19,3047.4447674322396,277.3626177462227,1952.5552325677604,6.694877172545265,3.3051228274547326,99722.63738225374
0.2,2970.67742528064,177.48053147841105,2029.32257471936,6.5549770009055415,3.4450229990944563,99822.51946852155
0.21,2895.999774733397,112.69399565821324,2104.000225266603,6.418000267636492,3.581999732363506,99887.30600434175
0.22,2823.3510244603945,70.96697062359382,2176.6489755396055,6.283885882021926,3.7161141179780715,99929.03302937637
